instrument,high_prev,low_prev,open_today,condition,transaction_type,trade_number,level,budget,return,daily_khwab,actual_khwab,quantity,budget_required,price,trigger_price,squareoff,stoploss,order_id,timestamp,order_type,status,profit,pl_tag,flag,adhoora_khwab
NSE:SUNTV,381.0,373.55,382.0,high,sell,1.0,1.0,25000.0,0.05,1250.0,1292.35,68.0,25976.0,379.7,380.1,19.0,19.0,200728200044869,2020-07-28 09:15:01.572990,SL,complete,-646.0,-0.5,0.0,1938.35
NSE:MCDOWELL-N,601.0,584.25,575.0,low,buy,1.0,1.0,25000.0,0.05,1250.0,1292.35,45.0,25875.0,578.45,577.9,28.9,28.9,200728200044302,2020-07-28 09:15:00.997424,SL,complete,308.25,0.2,0.0,984.1
NSE:HEROMOTOCO,2850.0,2745.05,2859.25,high,sell,1.0,1.0,25000.0,0.05,1250.0,1292.35,9.0,25733.25,2842.1,2844.95,142.1,142.1,200729200043410,2020-07-29 09:15:00.759879,SL,complete,548.1,0.4,0.0,744.25
NSE:LT,917.0,899.0,919.6,high,sell,1.0,1.0,25000.0,0.05,1250.0,1292.35,28.0,25748.8,914.1,915.0,45.7,45.7,200729200043409,2020-07-29 09:15:00.760066,SL,incomplete,0.0,0.0,0.0,1292.35
NSE:TITAN,1054.95,1028.55,1056.8,high,sell,1.0,1.0,25000.0,0.05,1250.0,1292.35,24.0,25363.2,1050.45,1051.5,52.5,52.5,200729200043408,2020-07-29 09:15:00.753984,SL,complete,175.2,0.1,0.0,1117.15
NSE:SUNPHARMA,483.75,473.25,485.7,high,sell,1.0,1.0,25000.0,0.05,1250.0,1292.35,53.0,25742.1,482.8,483.25,24.1,24.1,200729200043731,2020-07-29 09:15:01.389620,SL,incomplete,0.0,0.0,0.0,1292.35
NSE:SUNTV,390.75,372.0,391.0,high,sell,2.0,2.0,25000.0,0.05,0.0,2004.03,103.0,40273.0,388.65,389.05,19.4,19.4,200729200043426,2020-07-29 09:15:00.795474,SL,complete,254.1,0.1,0.0,1749.93
NSE:BERGEPAINT,537.0,520.4,518.0,low,buy,1.0,1.0,25000.0,0.05,1250.0,1292.35,50.0,25900.0,521.1,520.6,26.1,26.1,200729200043422,2020-07-29 09:15:00.792246,SL,complete,50.0,0.0,0.0,1242.35
NSE:ITC,198.65,195.05,193.45,low,buy,1.0,1.0,25000.0,0.05,1250.0,1292.35,134.0,25922.3,194.6,194.4,9.7,9.7,200729200043865,2020-07-29 09:15:01.660668,LIMIT,complete,47.15,0.0,0.0,1245.2
NSE:NESTLEIND,17474.65,17007.7,16999.95,low,buy,1.0,1.0,25000.0,0.05,1250.0,1292.35,2.0,33999.9,17101.95,17084.95,855.1,855.1,200729200043412,2020-07-29 09:15:00.765789,SL,complete,-1008.9,-0.6,0.0,2301.25
