,instrument,high_prev,low_prev,open_today,condition,transaction_type,trade_number,level,budget,return,daily_khwab,actual_khwab,quantity,budget_required,price,trigger_price,squareoff,stoploss,order_id,timestamp,order_type,status,profit,pl_tag,flag,adhoora_khwab,date,margin_required
0,NSE:UNIONBANK,148.35,141.8,148.55,high,buy,1,1,400.0,0.02,8.0,8.0,3,445.65,148.7,148.6,3.0,3.0,1,2018-01-05 11:37:00+05:30,SL,complete,-9.0,-1.0,1,17.0,2018-01-05,29.709999999999997
1,NSE:UNIONBANK,147.8,143.45,143.2,low,sell,1,1,400.0,0.02,8.0,8.0,3,429.6,143.05,143.15,2.9,2.9,1,2018-01-10 15:09:00+05:30,SL,complete,4.35,0.5,0,3.65,2018-01-10,28.64
2,NSE:UNIONBANK,140.95,135.2,143.45,high,buy,2,2.0,400.0,0.02,8.0,25.0,9,1291.05,143.6,143.5,2.9,2.9,2,2018-01-18 10:01:00+05:30,SL,complete,-26.1,-1.0,1,51.1,2018-01-18,86.07
3,NSE:UNIONBANK,150.0,142.6,151.55,high,buy,3,3.0,400.0,0.02,8.0,59.1,19,2879.45,151.7,151.65,3.0,3.0,3,2018-01-25 09:15:00+05:30,SL,incomplete,0.0,0.0,0,59.1,2018-01-25,191.9633333333333
4,NSE:UNIONBANK,137.4,131.2,130.0,low,sell,2,2.0,400.0,0.02,0.0,8.0,3,390.0,129.85,129.95,2.6,2.6,2,2018-02-02 10:31:00+05:30,SL,complete,7.8,1.0,1,0.2,2018-02-02,26.0
5,NSE:UNIONBANK,132.4,127.0,121.7,low,sell,3,1,400.0,0.02,8.0,8.2,3,365.1,121.6,121.65,2.4,2.4,3,2018-02-05 11:13:00+05:30,SL,complete,-7.2,-1.0,1,15.4,2018-02-05,24.34
6,NSE:UNIONBANK,127.9,120.7,118.0,low,sell,4,2.0,400.0,0.02,8.0,23.4,10,1180.0,117.9,117.95,2.4,2.4,4,2018-02-06 09:15:00+05:30,SL,incomplete,0.0,0.0,0,23.4,2018-02-06,78.66666666666667
7,NSE:UNIONBANK,126.3,118.0,126.65,high,buy,3,3.0,400.0,0.02,8.0,59.1,23,2912.95,126.8,126.7,2.5,2.5,3,2018-02-07 11:12:00+05:30,SL,complete,-57.5,-1.0,1,116.6,2018-02-07,194.19666666666666
8,NSE:UNIONBANK,127.4,123.65,122.0,low,sell,4,2.0,400.0,0.02,8.0,23.4,10,1220.0,121.9,121.95,2.4,2.4,4,2018-02-09 09:15:00+05:30,SL,incomplete,0.0,0.0,0,23.4,2018-02-09,81.33333333333333
9,NSE:UNIONBANK,127.3,120.8,119.15,low,sell,4,2.0,400.0,0.02,8.0,23.4,10,1191.5,119.05,119.1,2.4,2.4,4,2018-02-15 09:23:00+05:30,SL,complete,-24.0,-1.0,1,47.4,2018-02-15,79.43333333333334
10,NSE:UNIONBANK,119.85,116.15,112.75,low,sell,5,3.0,400.0,0.02,8.0,55.4,25,2818.75,112.65,112.7,2.3,2.3,5,2018-02-19 10:58:00+05:30,SL,complete,57.5,1.0,1,-2.1,2018-02-19,187.91666666666666
11,NSE:UNIONBANK,109.5,107.3,107.0,low,sell,6,1,400.0,0.02,8.0,8.0,4,428.0,106.9,106.95,2.1,2.1,6,2018-02-27 10:27:00+05:30,SL,complete,8.4,1.0,1,-0.4,2018-02-27,28.533333333333335
12,NSE:UNIONBANK,105.85,103.05,100.65,low,sell,7,1,400.0,0.02,8.0,8.0,4,402.6,100.55,100.6,2.0,2.0,7,2018-03-05 15:09:00+05:30,SL,complete,-1.4,-0.2,0,9.4,2018-03-05,26.84
13,NSE:UNIONBANK,102.8,94.5,102.9,high,buy,4,4.0,400.0,0.02,8.0,124.6,61,6276.9,103.0,102.95,2.1,2.1,4,2018-03-15 09:51:00+05:30,SL,complete,-128.1,-1.0,1,252.7,2018-03-15,418.46
14,NSE:UNIONBANK,97.85,94.35,98.0,high,buy,5,5.0,400.0,0.02,8.0,260.7,133,13034.0,98.1,98.05,2.0,2.0,5,2018-03-21 12:43:00+05:30,SL,complete,-266.0,-1.0,1,526.7,2018-03-21,868.9333333333333
15,NSE:UNIONBANK,96.0,94.1,88.4,low,sell,8,2.0,400.0,0.02,0.0,9.4,5,442.0,88.3,88.35,1.8,1.8,8,2018-03-23 10:34:00+05:30,SL,complete,9.0,1.0,1,0.4,2018-03-23,29.466666666666665
16,NSE:UNIONBANK,92.0,86.1,92.75,high,buy,6,6.0,400.0,0.02,8.0,534.7,288,26712.0,92.85,92.8,1.9,1.9,6,2018-03-27 13:11:00+05:30,SL,complete,547.2,1.0,1,-12.5,2018-03-27,1780.8
17,NSE:UNIONBANK,97.25,93.8,97.35,high,buy,7,1,400.0,0.02,8.0,8.0,4,389.4,97.45,97.4,1.9,1.9,7,2018-04-03 09:34:00+05:30,SL,complete,7.6,1.0,1,0.4,2018-04-03,25.959999999999997
18,NSE:UNIONBANK,102.85,98.5,103.2,high,buy,8,1,400.0,0.02,8.0,8.4,4,412.8,103.3,103.25,2.1,2.1,8,2018-04-09 15:09:00+05:30,SL,complete,5.4,0.6,0,3.0,2018-04-09,27.52
19,NSE:UNIONBANK,100.75,98.0,97.9,low,sell,9,1,400.0,0.02,8.0,8.4,4,391.6,97.8,97.85,2.0,2.0,9,2018-04-16 15:09:00+05:30,SL,complete,0.4,0.1,0,8.0,2018-04-16,26.10666666666667
20,NSE:UNIONBANK,92.3,86.9,84.4,low,sell,10,2.0,400.0,0.02,0.0,8.0,5,422.0,84.3,84.35,1.7,1.7,10,2018-05-11 09:53:00+05:30,SL,complete,-8.5,-1.0,1,16.5,2018-05-11,28.133333333333333
21,NSE:UNIONBANK,89.85,86.8,90.4,high,buy,9,2.0,400.0,0.02,0.0,8.0,4,361.6,90.5,90.45,1.8,1.8,9,2018-05-28 11:34:00+05:30,SL,complete,7.2,1.0,1,0.8,2018-05-28,24.10666666666667
22,NSE:UNIONBANK,93.7,89.9,88.95,low,sell,11,3.0,400.0,0.02,8.0,24.5,14,1245.3,88.85,88.9,1.8,1.8,11,2018-05-30 13:09:00+05:30,SL,complete,-25.2,-1.0,1,49.7,2018-05-30,83.02
23,NSE:UNIONBANK,94.85,90.0,89.9,low,sell,12,4.0,400.0,0.02,8.0,57.7,32,2876.8,89.8,89.85,1.8,1.8,12,2018-06-18 15:09:00+05:30,SL,complete,-20.8,-0.4,0,78.5,2018-06-18,191.7866666666667
24,NSE:UNIONBANK,77.0,74.1,74.05,low,sell,13,5.0,400.0,0.02,0.0,78.5,53,3924.65,73.95,74.0,1.5,1.5,13,2018-07-17 09:26:00+05:30,SL,complete,-79.5,-1.0,1,158.0,2018-07-17,261.6433333333333
25,NSE:UNIONBANK,85.8,81.6,85.95,high,buy,10,1,400.0,0.02,8.0,8.8,5,429.75,86.05,86.0,1.7,1.7,10,2018-07-27 09:30:00+05:30,SL,complete,-8.5,-1.0,1,17.3,2018-07-27,28.65
26,NSE:UNIONBANK,90.9,88.15,90.95,high,buy,11,2.0,400.0,0.02,8.0,25.3,14,1273.3,91.05,91.0,1.8,1.8,11,2018-08-07 10:29:00+05:30,SL,complete,-25.2,-1.0,1,50.5,2018-08-07,84.88666666666667
27,NSE:UNIONBANK,87.0,85.5,87.7,high,buy,12,3.0,400.0,0.02,8.0,58.5,33,2894.1,87.8,87.75,1.8,1.8,12,2018-08-20 15:09:00+05:30,SL,complete,23.1,0.4,0,35.4,2018-08-20,192.94
28,NSE:UNIONBANK,90.4,86.85,90.8,high,buy,13,4.0,400.0,0.02,0.0,35.4,19,1725.2,90.9,90.85,1.8,1.8,13,2018-09-03 12:47:00+05:30,SL,complete,34.2,1.0,1,1.2,2018-09-03,115.01333333333334
29,NSE:UNIONBANK,81.9,79.1,82.45,high,buy,14,1,400.0,0.02,8.0,9.2,6,494.7,82.55,82.5,1.7,1.7,14,2018-09-14 15:09:00+05:30,SL,complete,7.5,0.7,0,1.7,2018-09-14,32.98
30,NSE:UNIONBANK,83.1,81.05,80.55,low,sell,14,6.0,400.0,0.02,8.0,166.0,103,8296.65,80.45,80.5,1.6,1.6,14,2018-09-18 10:57:00+05:30,SL,complete,164.8,1.0,1,1.2,2018-09-18,553.11
31,NSE:UNIONBANK,71.7,67.5,66.8,low,sell,15,1,400.0,0.02,8.0,9.2,7,467.6,66.7,66.75,1.3,1.3,15,2018-10-04 09:22:00+05:30,SL,complete,-9.1,-1.0,1,18.3,2018-10-04,31.173333333333336
32,NSE:UNIONBANK,71.8,69.3,72.2,high,buy,15,2.0,400.0,0.02,0.0,8.0,6,433.2,72.3,72.25,1.4,1.4,15,2018-10-17 09:15:00+05:30,SL,incomplete,0.0,0.0,0,8.0,2018-10-17,28.88
33,NSE:UNIONBANK,70.2,62.15,70.4,high,buy,15,2.0,400.0,0.02,0.0,8.0,6,422.4,70.5,70.45,1.4,1.4,15,2018-10-30 10:54:00+05:30,SL,complete,8.4,1.0,1,-0.4,2018-10-30,28.16
34,NSE:UNIONBANK,77.25,73.3,77.3,high,buy,16,1,400.0,0.02,8.0,8.0,5,386.5,77.4,77.35,1.5,1.5,16,2018-11-01 09:31:00+05:30,SL,complete,-7.5,-1.0,1,15.5,2018-11-01,25.766666666666666
35,NSE:UNIONBANK,80.0,75.2,80.2,high,buy,17,2.0,400.0,0.02,8.0,23.5,15,1203.0,80.3,80.25,1.6,1.6,17,2018-11-06 13:41:00+05:30,SL,complete,-24.0,-1.0,1,47.5,2018-11-06,80.2
36,NSE:UNIONBANK,81.95,77.9,77.8,low,sell,16,2.0,400.0,0.02,8.0,26.3,17,1322.6,77.7,77.75,1.6,1.6,16,2018-11-13 12:09:00+05:30,SL,complete,-27.2,-1.0,1,53.5,2018-11-13,88.17333333333333
37,NSE:UNIONBANK,80.4,76.5,80.65,high,buy,18,3.0,400.0,0.02,8.0,55.5,34,2742.1,80.75,80.7,1.6,1.6,18,2018-11-14 10:40:00+05:30,SL,complete,54.4,1.0,1,1.1,2018-11-14,182.80666666666667
38,NSE:UNIONBANK,83.8,80.9,80.75,low,sell,17,3.0,400.0,0.02,8.0,61.5,38,3068.5,80.65,80.7,1.6,1.6,17,2018-11-20 09:21:00+05:30,SL,complete,60.8,1.0,1,0.7,2018-11-20,204.56666666666666
39,NSE:UNIONBANK,81.45,78.65,78.5,low,sell,18,1,400.0,0.02,8.0,8.7,6,471.0,78.4,78.45,1.6,1.6,18,2018-12-05 14:48:00+05:30,SL,complete,9.6,1.0,1,-0.9,2018-12-05,31.4
