instrument,budget,return
NSE:ACCELYA,400,0.05
NSE:GOLDBEES,400,0.05
NSE:GOLDSHARE,400,0.05
NSE:NIFTYBEES,400,0.05
NSE:POWERGRID,400,0.05
NSE:WIPRO,400,0.05
NSE:BIOCON,400,0.05
NSE:COLPAL,400,0.05
NSE:WABCOINDIA,400,0.05
NSE:ASIANPAINT,400,0.05
NSE:DABUR,400,0.05
NSE:HINDUNILVR,400,0.05
NSE:NESTLEIND,400,0.05
NSE:ICICIBANKN,400,0.05
NSE:IDFC,400,0.05
NSE:INFY,400,0.05
NSE:LICNFNHGP,400,0.05
NSE:MARICO,400,0.05
NSE:MUNJALSHOW,400,0.05
NSE:NPBET,400,0.05
NSE:TORNTPHARM,400,0.05
NSE:ACC,400,0.05
NSE:BANKBEES,400,0.05
NSE:BATAINDIA,400,0.05
NSE:BERGEPAINT,400,0.05
NSE:HDFCBANK,400,0.05
NSE:MCDOWELL-N,400,0.05
NSE:MRF,400,0.05
NSE:SHREECEM,400,0.05
NSE:VOLTAS,400,0.05
NSE:AMARAJABAT,400,0.05
NSE:APOLLOTYRE,400,0.05
NSE:BAJAJ-AUTO,400,0.05
NSE:BRITANNIA,400,0.05
NSE:CUMMINSIND,400,0.05
NSE:HAVELLS,400,0.05
NSE:HEROMOTOCO,400,0.05
NSE:IBVENTURES,400,0.05
NSE:LINCOLN,400,0.05
NSE:LT,400,0.05
NSE:PIDILITIND,400,0.05
NSE:RAMCOCEM,400,0.05
NSE:TATACHEM,400,0.05
NSE:TCS,400,0.05
NSE:TITAN,400,0.05
NSE:TVSMOTOR,400,0.05
NSE:WOCKPHARMA,400,0.05
NSE:BOSCHLTD,400,0.05
NSE:CIPLA,400,0.05
NSE:COALINDIA,400,0.05
NSE:DIVISLAB,400,0.05
NSE:DLF,400,0.05
NSE:DRREDDY,400,0.05
NSE:EICHERMOT,400,0.05
NSE:GODREJCP,400,0.05
NSE:HCLTECH,400,0.05
NSE:IGL,400,0.05
NSE:IOC,400,0.05
NSE:ITC,400,0.05
NSE:LUPIN,400,0.05
NSE:NAUKRI,400,0.05
NSE:RECLTD,400,0.05
NSE:RELIANCE,400,0.05
NSE:TORNTPOWER,400,0.05
NSE:AMBUJACEM,400,0.05
NSE:BHARTIARTL,400,0.05
NSE:CADILAHC,400,0.05
NSE:CESC,400,0.05
NSE:EXIDEIND,400,0.05
NSE:HDFC,400,0.05
NSE:JSWSTEEL,400,0.05
NSE:MARUTI,400,0.05
NSE:MGL,400,0.05
NSE:NTPC,400,0.05
NSE:PFC,400,0.05
NSE:SUNPHARMA,400,0.05
NSE:SUNTV,400,0.05
NSE:TATAPOWER,400,0.05
NSE:HINDALCO,400,0.05
NSE:M&M,400,0.05
NSE:NATIONALUM,400,0.05
NSE:PAGEIND,400,0.05
NSE:PETRONET,400,0.05
NSE:SIEMENS,400,0.05
NSE:TECHM,400,0.05
NSE:ULTRACEMCO,400,0.05
NSE:AUROPHARMA,400,0.05
NSE:GLENMARK,400,0.05
NSE:HINDPETRO,400,0.05
NSE:SBIN,400,0.05
NSE:TATASTEEL,400,0.05
