instrument,budget,return
NSE:POWERGRID,25000,0.05
NSE:WIPRO,25000,0.05
NSE:COLPAL,25000,0.05
NSE:ASIANPAINT,25000,0.05
NSE:DABUR,25000,0.05
NSE:HINDUNILVR,25000,0.05
NSE:NESTLEIND,25000,0.05
NSE:ICICIBANKN,25000,0.05
NSE:INFY,25000,0.05
NSE:LICNFNHGP,25000,0.05
NSE:MARICO,25000,0.05
NSE:NPBET,25000,0.05
NSE:TORNTPHARM,25000,0.05
NSE:ACC,25000,0.05
NSE:BATAINDIA,25000,0.05
NSE:BERGEPAINT,25000,0.05
NSE:HDFCBANK,25000,0.05
NSE:MCDOWELL-N,25000,0.05
NSE:SHREECEM,25000,0.05
NSE:VOLTAS,25000,0.05
NSE:AMARAJABAT,25000,0.05
NSE:BAJAJ-AUTO,25000,0.05
NSE:BRITANNIA,25000,0.05
NSE:CUMMINSIND,25000,0.05
NSE:HAVELLS,25000,0.05
NSE:HEROMOTOCO,25000,0.05
NSE:LT,25000,0.05
NSE:PIDILITIND,25000,0.05
NSE:RAMCOCEM,25000,0.05
NSE:TATACHEM,25000,0.05
NSE:TCS,25000,0.05
NSE:TITAN,25000,0.05
NSE:TVSMOTOR,25000,0.05
NSE:WOCKPHARMA,25000,0.05
NSE:BOSCHLTD,25000,0.05
NSE:CIPLA,25000,0.05
NSE:COALINDIA,25000,0.05
NSE:DIVISLAB,25000,0.05
NSE:DRREDDY,25000,0.05
NSE:EICHERMOT,25000,0.05
NSE:GODREJCP,25000,0.05
NSE:HCLTECH,25000,0.05
NSE:ITC,25000,0.05
NSE:LUPIN,25000,0.05
NSE:NAUKRI,25000,0.05
NSE:RELIANCE,25000,0.05
NSE:TORNTPOWER,25000,0.05
NSE:AMBUJACEM,25000,0.05
NSE:BHARTIARTL,25000,0.05
NSE:CADILAHC,25000,0.05
NSE:CESC,25000,0.05
NSE:EXIDEIND,25000,0.05
NSE:HDFC,25000,0.05
NSE:MARUTI,25000,0.05
NSE:MGL,25000,0.05
NSE:SUNPHARMA,25000,0.05
NSE:SUNTV,25000,0.05
NSE:M&M,25000,0.05
NSE:SIEMENS,25000,0.05
NSE:TECHM,25000,0.05
NSE:ULTRACEMCO,25000,0.05
NSE:AUROPHARMA,25000,0.05
NSE:GLENMARK,25000,0.05
NSE:HINDPETRO,25000,0.05
NSE:SBIN,25000,0.05
NSE:TATASTEEL,25000,0.05
