instrument,instrument_token,last_price_prev,open_prev,high_prev,low_prev,close_prev
NSE:ACC,5633,1227.1,1172.0,1240.0,1161.6,1187.6
NSE:ACCELYA,1805569,914.45,912.05,919.9,907.35,914.9
NSE:AMARAJABAT,25601,592.55,600.0,613.5,586.9,596.4
NSE:APOLLOTYRE,41729,90.35,91.5,93.0,89.85,91.85
NSE:ASIANPAINT,60417,1617.9,1568.8,1625.0,1555.4,1574.3
NSE:BAJAJ-AUTO,4267265,2553.75,2623.0,2634.5,2542.8,2640.35
NSE:BANKBEES,2928385,173.76,176.75,180.0,172.5,178.27
NSE:BATAINDIA,94977,1274.7,1295.0,1322.0,1267.35,1301.3
NSE:BERGEPAINT,103425,457.3,463.6,473.5,453.0,465.45
NSE:BIOCON,2911489,350.3,355.0,356.85,347.6,354.85
NSE:BOSCHLTD,558337,9520.3,9339.0,9600.0,9230.0,9346.7
NSE:BRITANNIA,140033,3167.1,3104.0,3184.2,3080.0,3110.95
NSE:CIPLA,177665,639.35,616.7,641.85,610.1,616.6
NSE:COALINDIA,5215745,125.2,124.0,126.05,121.9,124.5
NSE:COLPAL,3876097,1313.35,1322.0,1345.1,1308.15,1335.1
NSE:CUMMINSIND,486657,329.7,335.3,339.1,326.55,337.5
NSE:DABUR,197633,431.7,439.6,443.95,429.9,440.15
NSE:GOLDBEES,3693569,41.65,41.48,41.86,41.16,41.43
NSE:GOLDSHARE,3720961,4302.7,4225.05,4336.15,4225.05,4314.85
NSE:HAVELLS,2513665,459.35,463.4,474.45,455.5,465.85
NSE:HDFCBANK,341249,838.85,850.0,870.3,833.05,859.55
NSE:HEROMOTOCO,345089,2150.6,2119.0,2159.9,2083.85,2119.5
NSE:HINDUNILVR,356865,1987.9,1975.0,1995.05,1958.0,1970.9
NSE:IBVENTURES,3938305,69.7,71.0,72.8,69.7,73.35
NSE:ICICIBANKN,2825473,172.07,177.0,177.94,169.57,176.43
NSE:IDFC,3060993,13.4,13.6,13.65,13.4,13.5
NSE:INFY,408065,692.35,675.0,695.85,673.5,672.2
