instrument,high_prev,low_prev,open_today,condition,transaction_type,trade_number,level,budget,return,daily_khwab,actual_khwab,quantity,budget_required,price,trigger_price,squareoff,stoploss,order_id,timestamp,order_type,status,profit,pl_tag,flag,adhoora_khwab
NSE:AMARAJABAT,745.5,717.05,746.5,high,sell,4.0,4.0,25000.0,0.05,0.0,1292.35,35.0,26127.5,745.75,746.15,37.3,16.8,200821200046636,2020-08-21 09:15:01.299427,SLM,complete,154.0,0.1,0.0,1138.35
NSE:ASIANPAINT,1880.0,1857.05,1887.9,high,sell,4.0,4.0,25000.0,0.05,0.0,1388.52,15.0,28318.5,1886.0,1886.95,94.3,42.4,200821200046624,2020-08-21 09:15:01.268050,SLM,complete,-626.5,-0.4,0.0,2015.02
NSE:BATAINDIA,1292.15,1256.25,1295.9,high,sell,5.0,5.0,25000.0,0.05,0.0,1860.35,29.0,37581.1,1294.6,1295.25,64.7,29.1,200821200046918,2020-08-21 09:15:01.657838,MARKET,complete,-848.85,-0.5,0.0,2709.2
NSE:COALINDIA,139.0,133.35,139.5,high,sell,1.0,1.0,25000.0,0.05,1250.0,1292.35,185.0,25807.5,139.35,139.45,7.0,3.1,200821200046628,2020-08-21 09:15:01.277611,SLM,complete,-416.25,-0.3,0.0,1708.6
NSE:DIVISLAB,3207.0,3121.1,3256.0,high,sell,2.0,2.0,25000.0,0.05,0.0,1292.35,8.0,26048.0,3252.75,3254.35,162.6,73.2,200821200046907,2020-08-21 09:15:01.661648,MARKET,complete,-592.8,-0.5,0.0,1885.15
NSE:EICHERMOT,21530.0,20900.0,21700.0,high,sell,2.0,2.0,25000.0,0.05,0.0,1886.83,2.0,43400.0,21678.3,21689.15,1083.9,487.8,200821200046617,2020-08-21 09:15:01.281719,SLM,complete,-180.0,-0.1,0.0,2066.83
NSE:GODREJCP,694.45,678.35,694.9,high,sell,3.0,3.0,25000.0,0.05,0.0,1673.98,48.0,33355.2,694.2,694.55,34.7,15.6,200821200046916,2020-08-21 09:15:01.669416,MARKET,complete,397.1,0.2,0.0,1276.88
NSE:HAVELLS,643.55,620.9,643.85,high,sell,4.0,4.0,25000.0,0.05,0.0,1870.24,58.0,37343.3,643.2,643.55,32.2,14.5,200821200046914,2020-08-21 09:15:01.672405,MARKET,complete,391.75,0.2,0.0,1478.49
NSE:HEROMOTOCO,2964.9,2892.65,2978.7,high,sell,3.0,3.0,25000.0,0.05,0.0,1292.35,9.0,26808.3,2975.7,2977.2,148.8,67.0,200821200046592,2020-08-21 09:15:01.281134,SLM,complete,-593.55,-0.4,0.0,1885.9
NSE:HINDUNILVR,2197.8,2176.15,2199.0,high,sell,2.0,2.0,25000.0,0.05,0.0,1498.04,14.0,30786.0,2196.8,2197.9,109.8,49.4,200821200046611,2020-08-21 09:15:01.282020,SLM,complete,-68.6,-0.0,0.0,1566.64
NSE:ITC,197.2,194.55,198.0,high,sell,3.0,3.0,25000.0,0.05,0.0,1292.35,131.0,25938.0,197.8,197.9,9.9,4.5,200821200046923,2020-08-21 09:15:01.660160,MARKET,complete,85.15,0.1,0.0,1207.2
NSE:LT,1005.0,981.0,1010.0,high,sell,4.0,4.0,25000.0,0.05,0.0,1292.35,26.0,26260.0,1009.0,1009.5,50.5,22.7,200821200046934,2020-08-21 09:15:01.671981,MARKET,complete,375.7,0.3,0.0,916.65
NSE:MARICO,374.0,370.5,374.3,high,sell,2.0,2.0,25000.0,0.05,0.0,1292.35,69.0,25826.7,373.95,374.1,18.7,8.4,200821200046943,2020-08-21 09:15:01.717056,MARKET,complete,-190.3,-0.1,0.0,1482.65
NSE:PIDILITIND,1462.5,1435.0,1462.8,high,sell,1.0,1.0,25000.0,0.05,1250.0,1292.35,18.0,26330.4,1461.35,1462.05,73.1,32.9,200821200047046,2020-08-21 09:15:01.821892,MARKET,complete,-10.6,-0.0,0.0,1302.95
NSE:TORNTPHARM,2824.9,2780.1,2828.0,high,sell,3.0,3.0,25000.0,0.05,0.0,1434.14,10.0,28280.0,2825.15,2826.6,141.3,63.6,200821200046632,2020-08-21 09:15:01.300583,SLM,complete,11.5,0.0,0.0,1422.64
NSE:HINDPETRO,215.8,208.15,217.0,high,sell,2.0,2.0,25000.0,0.05,0.0,1292.35,119.0,25823.0,216.8,216.9,10.8,4.9,200821200046932,2020-08-21 09:15:01.671341,MARKET,complete,499.8,0.4,0.0,792.55
NSE:MARUTI,6999.0,6880.05,7048.0,high,sell,3.0,3.0,25000.0,0.05,0.0,1933.2,5.0,35240.0,7040.95,7044.5,352.0,158.4,200821200046915,2020-08-21 09:15:01.678015,MARKET,complete,294.5,0.2,0.0,1638.7
NSE:MGL,1018.9,965.1,1021.7,high,sell,4.0,4.0,25000.0,0.05,0.0,1292.35,25.0,25542.5,1020.7,1021.2,51.0,23.0,200821200046631,2020-08-21 09:15:01.288754,SLM,complete,-550.0,-0.4,0.0,1842.35
NSE:SBIN,196.35,193.25,199.0,high,sell,3.0,3.0,25000.0,0.05,0.0,1800.14,181.0,36019.0,198.8,198.9,9.9,4.5,200821200046949,2020-08-21 09:15:01.721962,MARKET,complete,9.05,0.0,0.0,1791.09
NSE:SIEMENS,1233.7,1207.45,1236.4,high,sell,3.0,3.0,25000.0,0.05,0.0,1927.52,31.0,38328.4,1235.15,1235.8,61.8,27.8,200821200046903,2020-08-21 09:15:01.635139,MARKET,complete,-309.95,-0.2,0.0,2237.47
NSE:SUNTV,475.4,430.5,475.75,high,sell,4.0,4.0,25000.0,0.05,0.0,1757.98,74.0,35205.5,475.25,475.5,23.8,10.7,200821200046921,2020-08-21 09:15:01.655508,MARKET,complete,-17.1,-0.0,0.0,1775.08
